id;job_title;location;connection;fit;Star
17;Aspiring human resources professional;Raleigh-Durham, North Carolina Area;44;0.83; 
14;2019 C.T. bauer college of business graduate (magna cum laude) and aspiring human resources professional;Houston, Texas;85;0.83; 
30;Seeking human resources opportunities;Chicago, Illinois;390;0.83; 
6;Aspiring human resources specialist;Greater New York City Area;1;0.83; 
68;Human resources specialist at luxottica;Greater New York City Area;500;0.67; 
65;Human resources coordinator at intercontinental buckhead atlanta;Atlanta, Georgia;500;0.67; 
13;Human resources coordinator at intercontinental buckhead atlanta;Atlanta, Georgia;500;0.67; 
67;Human resources, staffing and recruiting professional;Jackson, Mississippi Area;500;0.67; 
69;Director of human resources north america, groupe beneteau;Greater Grand Rapids, Michigan Area;500;0.67; 
71;Human resources generalist at scottmadden, inc.;Raleigh-Durham, North Carolina Area;500;0.67; 
81;Senior human resources business partner at heil environmental;Chattanooga, Tennessee Area;455;0.67; 
74;Human resources professional;Greater Boston Area;16;0.67; 
77;Human resources, conflict management, policies & procedures,talent management,benefits & compensation;Dallas/Fort Worth Area;409;0.67; 
84;Human resources professional for the world leader in GIS software;Highland, California;50;0.67; 
88;Human resources management major;Milpitas, California;18;0.67; 
78;Human resources generalist at schwan's;Amerika Birleşik Devletleri;500;0.67; 
101;Human resources generalist at loparex;Raleigh-Durham, North Carolina Area;500;0.67; 
89;Director human resources at EY;Greater Atlanta Area;349;0.67; 
43;Human resources coordinator at intercontinental buckhead atlanta;Atlanta, Georgia;500;0.67; 
56;Human resources coordinator at intercontinental buckhead atlanta;Atlanta, Georgia;500;0.67; 
92;Seeking employment opportunities within customer service or patient care;Torrance, California;64;0.17; 
5;Advisory board member at celal bayar university;İzmir, Türkiye;500;0; 
103;Always set them up for success;Greater Los Angeles Area;500;0; 
102;Business intelligence and analytics at travelers;Greater New York City Area;49;0; 
4;People development coordinator at ryan;Denton, Texas;500;0; 
80;Junior MES engineer, information systems;Myrtle Beach, South Carolina Area;52;0; 
98;Student;Houston, Texas Area;4;0; 
87;Bachelor of science in biology from victoria university of wellington;Baltimore, Maryland;40;0; 
96;Student at indiana university kokomo - business management - retail manager at delphi hardware and paint;Lafayette, Indiana;19;0; 
93;Admissions representative at community medical center long beach;Long Beach, California;9;0; 
91;Lead official at western illinois university;Greater Chicago Area;39;0; 
90;Undergraduate research assistant at styczynski lab;Greater Atlanta Area;155;0; 
83;HR manager at endemol shine north america;Los Angeles, California;268;0; 
8;HR senior specialist;San Francisco Bay Area;500;0; 
85;RRP brand portfolio executive at JTI (japan tobacco international);Greater Philadelphia Area;500;0; 
86;Information systems specialist and programmer with a love for data and organization.;Gaithersburg, Maryland;4;0; 
95;Student at westfield state university;Bridgewater, Massachusetts;57;0; 
32;Native english teacher at EPIK (english program in korea);Kanada;500;0; 
11;Student at chapman university;Lake Forest, California;2;0; 
48;Advisory board member at celal bayar university;İzmir, Türkiye;500;0; 
34;People development coordinator at ryan;Denton, Texas;500;0; 
35;Advisory board member at celal bayar university;İzmir, Türkiye;500;0; 
26;HR senior specialist;San Francisco Bay Area;500;0; 
38;HR senior specialist;San Francisco Bay Area;500;0; 
41;Student at chapman university;Lake Forest, California;2;0; 
42;SVP, CHRO, marketing & communications, CSR officer, ENGIE, houston, the woodlands, energy, GPHR, SPHR;Houston, Texas Area;500;0; 
23;Advisory board member at celal bayar university;İzmir, Türkiye;500;0; 
45;Native english teacher at EPIK (english program in korea);Kanada;500;0; 
22;People development coordinator at ryan;Denton, Texas;500;0; 
47;People development coordinator at ryan;Denton, Texas;500;0; 
20;Native english teacher at EPIK (english program in korea);Kanada;500;0; 
12;SVP, CHRO, marketing & communications, CSR officer, ENGIE, houston, the woodlands, energy, GPHR, SPHR;Houston, Texas Area;500;0; 
51;HR senior specialist;San Francisco Bay Area;500;0; 
2;Native english teacher at EPIK (english program in korea);Kanada;500;0; 
54;Student at chapman university;Lake Forest, California;2;0; 
55;SVP, CHRO, marketing & communications, CSR officer, ENGIE, houston, the woodlands, energy, GPHR, SPHR;Houston, Texas Area;500;0; 
18;People development coordinator at ryan;Denton, Texas;500;0; 
59;People development coordinator at ryan;Denton, Texas;500;0; 
16;Native english teacher at EPIK (english program in korea);Kanada;500;0; 
61;HR senior specialist;San Francisco Bay Area;500;0; 
63;Student at chapman university;Lake Forest, California;2;0; 
64;SVP, CHRO, marketing & communications, CSR officer, ENGIE, houston, the woodlands, energy, GPHR, SPHR;Houston, Texas Area;500;0; 
104;Director of administration at excellence logging;Katy, Texas;500;0; 
